UF,MUNICIPIO_DESCRICAO,Código IBGE,Estabelecimentos (Matriz + Filial)
SP,Piquete,3538501,8
SP,Piracaia,Totais,13
SP,Piracaia,3538600,13
SP,Piracicaba,Totais,196
SP,Piracicaba,3538709,196
SP,Piraju,Totais,15
SP,Piraju,3538808,15
SP,Pirajuí,Totais,13
SP,Pirajuí,3538907,13
SP,Pirangi,Totais,10
SP,Pirangi,3539004,10
SP,Pirapora do Bom Jesus,Totais,7
SP,Pirapora do Bom Jesus,3539103,7
SP,Pirapozinho,Totais,18
SP,Pirapozinho,3539202,18
SP,Pirassununga,Totais,35
SP,Pirassununga,3539301,35
SP,Piratininga,Totais,8
SP,Piratininga,3539400,8
SP,Pitangueiras,Totais,17
SP,Pitangueiras,3539509,17
SP,Planalto,Totais,6
SP,Planalto,3539608,6
SP,Platina,Totais,3
SP,Platina,3539707,3
SP,Poá,Totais,55
SP,Poá,3539806,55
SP,Poloni,Totais,3
SP,Poloni,3539905,3
SP,Pompéia,Totais,15
SP,Pompéia,3540002,15
SP,Pongaí,Totais,3
SP,Pongaí,3540101,3
SP,Pontal,Totais,17
SP,Pontal,3540200,17
SP,Pontalinda,Totais,3
SP,Pontalinda,3540259,3
SP,Pontes Gestal,Totais,3
SP,Pontes Gestal,3540309,3
SP,Populina,Totais,4
SP,Populina,3540408,4
SP,Porangaba,Totais,6
SP,Porangaba,3540507,6
SP,Porto Feliz,Totais,24
SP,Porto Feliz,3540606,24
SP,Porto Ferreira,Totais,27
SP,Porto Ferreira,3540705,27
SP,Potim,Totais,5
SP,Potim,3540754,5
SP,Potirendaba,Totais,9
SP,Potirendaba,3540804,9
SP,Pracinha,Totais,1
SP,Pracinha,3540853,1
SP,Pradópolis,Totais,13
SP,Pradópolis,3540903,13
SP,Praia Grande,Totais,148
SP,Praia Grande,3541000,148
SP,Pratânia,Totais,2
SP,Pratânia,3541059,2
SP,Presidente Alves,Totais,2
SP,Presidente Alves,3541109,2
SP,Presidente Bernardes,Totais,7
SP,Presidente Bernardes,3541208,7
SP,Presidente Epitácio,Totais,21
SP,Presidente Epitácio,3541307,21
SP,Presidente Prudente,Totais,137
SP,Presidente Prudente,3541406,137
SP,Presidente Venceslau,Totais,18
SP,Presidente Venceslau,3541505,18
SP,Promissão,Totais,18
SP,Promissão,3541604,18
SP,Quadra,Totais,1
SP,Quadra,3541653,1
SP,Quatá,Totais,9
SP,Quatá,3541703,9
SP,Queiroz,Totais,4
SP,Queiroz,3541802,4
SP,Queluz,Totais,2
SP,Queluz,3541901,2
SP,Quintana,Totais,5
SP,Quintana,3542008,5
SP,Rafard,Totais,4
SP,Rafard,3542107,4
SP,Rancharia,Totais,20
SP,Rancharia,3542206,20
SP,Redenção da Serra,Totais,2
SP,Redenção da Serra,3542305,2
SP,Regente Feijó,Totais,12
SP,Regente Feijó,3542404,12
SP,Reginópolis,Totais,4
SP,Reginópolis,3542503,4
SP,Registro,Totais,24
SP,Registro,3542602,24
SP,Restinga,Totais,3
SP,Restinga,3542701,3
SP,Ribeira,Totais,2
SP,Ribeira,3542800,2
SP,Ribeirão Bonito,Totais,8
SP,Ribeirão Bonito,3542909,8
SP,Ribeirão Branco,Totais,21
SP,Ribeirão Branco,3543006,21
SP,Ribeirão Corrente,Totais,3
SP,Ribeirão Corrente,3543105,3
SP,Ribeirão do Sul,Totais,3
SP,Ribeirão do Sul,3543204,3
SP,Ribeirão dos Índios,Totais,2
SP,Ribeirão dos Índios,3543238,2
SP,Ribeirão Grande,Totais,1
SP,Ribeirão Grande,3543253,1
SP,Ribeirão Pires,Totais,50
SP,Ribeirão Pires,3543303,50
SP,Ribeirão Preto,Totais,330
SP,Ribeirão Preto,3543402,330
SP,Rifaina,Totais,3
SP,Rifaina,3543600,3
SP,Rincão,Totais,4
SP,Rincão,3543709,4
SP,Rinópolis,Totais,6
SP,Rinópolis,3543808,6
SP,Rio Claro,Totais,96
SP,Rio Claro,3543907,96
SP,Rio das Pedras,Totais,14
SP,Rio das Pedras,3544004,14
SP,Rio Grande da Serra,Totais,10
SP,Rio Grande da Serra,3544103,10
SP,Riolândia,Totais,7
SP,Riolândia,3544202,7
SP,Riversul,Totais,6
SP,Riversul,3543501,6
SP,Rosana,Totais,17
SP,Rosana,3544251,17
SP,Roseira,Totais,7
SP,Roseira,3544301,7
SP,Rubiácea,Totais,1
SP,Rubiácea,3544400,1
SP,Rubinéia,Totais,2
SP,Rubinéia,3544509,2
SP,Sabino,Totais,2
SP,Sabino,3544608,2
SP,Sagres,Totais,1
SP,Sagres,3544707,1
SP,Sales,Totais,8
SP,Sales,3544806,8
SP,Sales Oliveira,Totais,5
SP,Sales Oliveira,3544905,5
SP,Salesópolis,Totais,8
SP,Salesópolis,3545001,8
SP,Salmourão,Totais,2
SP,Salmourão,3545100,2
SP,Saltinho,Totais,3
SP,Saltinho,3545159,3
SP,Salto,Totais,59
SP,Salto,3545209,59
SP,Salto de Pirapora,Totais,19
SP,Salto de Pirapora,3545308,19
SP,Salto Grande,Totais,5
SP,Salto Grande,3545407,5
SP,Sandovalina,Totais,2
SP,Sandovalina,3545506,2
SP,Santa Adélia,Totais,14
SP,Santa Adélia,3545605,14
SP,Santa Albertina,Totais,5
SP,Santa Albertina,3545704,5
SP,Santa Bárbara d´Oeste,Totais,83
SP,Santa Bárbara d´Oeste,3545803,83
SP,Santa Branca,Totais,4
SP,Santa Branca,3546009,4
SP,Santa Clara d´Oeste,Totais,1
SP,Santa Clara d´Oeste,3546108,1
SP,Santa Cruz da Conceição,Totais,2
SP,Santa Cruz da Conceição,3546207,2
SP,Santa Cruz da Esperança,Totais,1
SP,Santa Cruz da Esperança,3546256,1
SP,Santa Cruz das Palmeiras,Totais,16
SP,Santa Cruz das Palmeiras,3546306,16
SP,Santa Cruz do Rio Pardo,Totais,27
SP,Santa Cruz do Rio Pardo,3546405,27
SP,Santa Ernestina,Totais,3
SP,Santa Ernestina,3546504,3
SP,Santa Fé do Sul,Totais,29
SP,Santa Fé do Sul,3546603,29
SP,Santa Gertrudes,Totais,13
SP,Santa Gertrudes,3546702,13
SP,Santa Isabel,Totais,21
SP,Santa Isabel,3546801,21
SP,Santa Lúcia,Totais,2
SP,Santa Lúcia,3546900,2
SP,Santa Maria da Serra,Totais,3
SP,Santa Maria da Serra,3547007,3
SP,Santa Mercedes,Totais,1
SP,Santa Mercedes,3547106,1
SP,Santa Rita d´Oeste,Totais,2
SP,Santa Rita d´Oeste,3547403,2
SP,Santa Rita do Passa Quatro,Totais,18
SP,Santa Rita do Passa Quatro,3547502,18
SP,Santa Rosa de Viterbo,Totais,12
SP,Santa Rosa de Viterbo,3547601,12
SP,Santa Salete,Totais,1
SP,Santa Salete,3547650,1
SP,Santana da Ponte Pensa,Totais,2
SP,Santana da Ponte Pensa,3547205,2
SP,Santana de Parnaíba,Totais,56
SP,Santana de Parnaíba,3547304,56
SP,Santo Anastácio,Totais,11
SP,Santo Anastácio,3547700,11
SP,Santo André,Totais,339
SP,Santo André,3547809,339
SP,Santo Antônio da Alegria,Totais,7
SP,Santo Antônio da Alegria,3547908,7
SP,Santo Antônio de Posse,Totais,10
SP,Santo Antônio de Posse,3548005,10
SP,Santo Antônio do Aracanguá,Totais,8
SP,Santo Antônio do Aracanguá,3548054,8
SP,Santo Antônio do Jardim,Totais,4
SP,Santo Antônio do Jardim,3548104,4
SP,Santo Antônio do Pinhal,Totais,4
SP,Santo Antônio do Pinhal,3548203,4
SP,Santo Expedito,Totais,3
SP,Santo Expedito,3548302,3
SP,Santópolis do Aguapeí,Totais,4
SP,Santópolis do Aguapeí,3548401,4
SP,Santos,Totais,183
SP,Santos,3548500,183
SP,São Bento do Sapucaí,Totais,8
SP,São Bento do Sapucaí,3548609,8
SP,São Bernardo do Campo,Totais,321
SP,São Bernardo do Campo,3548708,321
SP,São Caetano do Sul,Totais,111
SP,São Caetano do Sul,3548807,111
SP,São Carlos,Totais,134
SP,São Carlos,3548906,134
SP,São Francisco,Totais,1
SP,São Francisco,3549003,1
SP,São João da Boa Vista,Totais,46
SP,São João da Boa Vista,3549102,46
SP,São João das Duas Pontes,Totais,2
SP,São João das Duas Pontes,3549201,2
SP,São João de Iracema,Totais,5
SP,São João de Iracema,3549250,5
SP,São João do Pau d´Alho,Totais,1
SP,São João do Pau d´Alho,3549300,1
SP,São Joaquim da Barra,Totais,27
SP,São Joaquim da Barra,3549409,27
SP,São José da Bela Vista,Totais,3
SP,São José da Bela Vista,3549508,3
SP,São José do Barreiro,Totais,2
SP,São José do Barreiro,3549607,2
SP,São José do Rio Pardo,Totais,28
SP,São José do Rio Pardo,3549706,28
SP,São José do Rio Preto,Totais,317
SP,São José do Rio Preto,3549805,317
SP,São José dos Campos,Totais,297
SP,São José dos Campos,3549904,297
SP,São Lourenço da Serra,Totais,4
SP,São Lourenço da Serra,3549953,4
SP,São Luís do Paraitinga,Totais,3
SP,São Luís do Paraitinga,3550001,3
SP,São Manuel,Totais,19
SP,São Manuel,3550100,19
SP,São Miguel Arcanjo,Totais,22
SP,São Miguel Arcanjo,3550209,22
SP,São Paulo (território),Totais,"4,887"
SP,São Paulo (território),3550308,"4,887"
SP,São Pedro,Totais,21
SP,São Pedro,3550407,21
SP,São Pedro do Turvo,Totais,5
SP,São Pedro do Turvo,3550506,5
SP,São Roque,Totais,35
SP,São Roque,3550605,35
SP,São Sebastião,Totais,49
SP,São Sebastião,3550704,49
SP,São Sebastião da Grama,Totais,7
SP,São Sebastião da Grama,3550803,7
SP,São Simão,Totais,7
SP,São Simão,3550902,7
SP,São Vicente,Totais,113
SP,São Vicente,3551009,113
SP,Sarapuí,Totais,8
SP,Sarapuí,3551108,8
SP,Sarutaiá,Totais,1
SP,Sarutaiá,3551207,1
SP,Sebastianópolis do Sul,Totais,2
SP,Sebastianópolis do Sul,3551306,2
SP,Serra Azul,Totais,7
SP,Serra Azul,3551405,7
SP,Serra Negra,Totais,22
SP,Serra Negra,3551603,22
SP,Serrana,Totais,17
SP,Serrana,3551504,17
SP,Sertãozinho,Totais,62
SP,Sertãozinho,3551702,62
SP,Sete Barras,Totais,5
SP,Sete Barras,3551801,5
SP,Severínia,Totais,12
SP,Severínia,3551900,12
SP,Silveiras,Totais,3
SP,Silveiras,3552007,3
SP,Socorro,Totais,18
SP,Socorro,3552106,18
SP,Sorocaba,Totais,312
SP,Sorocaba,3552205,312
SP,Sud Mennucci,Totais,7
SP,Sud Mennucci,3552304,7
SP,Sumaré,Totais,115
SP,Sumaré,3552403,115
SP,Suzanápolis,Totais,5
SP,Suzanápolis,3552551,5
SP,Suzano,Totais,166
SP,Suzano,3552502,166
SP,Tabapuã,Totais,10
SP,Tabapuã,3552601,10
SP,Tabatinga,Totais,8
SP,Tabatinga,3552700,8
SP,Taboão da Serra,Totais,110
SP,Taboão da Serra,3552809,110
SP,Taciba,Totais,2
SP,Taciba,3552908,2
SP,Taguaí,Totais,9
SP,Taguaí,3553005,9
SP,Taiaçu,Totais,5
SP,Taiaçu,3553104,5
SP,Taiúva,Totais,3
SP,Taiúva,3553203,3
SP,Tambaú,Totais,11
SP,Tambaú,3553302,11
SP,Tanabi,Totais,20
SP,Tanabi,3553401,20
SP,Tapiraí,Totais,3
SP,Tapiraí,3553500,3
SP,Tapiratiba,Totais,9
SP,Tapiratiba,3553609,9
SP,Taquaral,Totais,2
SP,Taquaral,3553658,2
SP,Taquaritinga,Totais,49
SP,Taquaritinga,3553708,49
SP,Taquarituba,Totais,13
SP,Taquarituba,3553807,13
SP,Taquarivaí,Totais,2
SP,Taquarivaí,3553856,2
SP,Tarabai,Totais,4
SP,Tarabai,3553906,4
SP,Tarumã,Totais,8
SP,Tarumã,3553955,8
SP,Tatuí,Totais,51
SP,Tatuí,3554003,51
SP,Taubaté,Totais,145
SP,Taubaté,3554102,145
SP,Tejupá,Totais,2
SP,Tejupá,3554201,2
SP,Teodoro Sampaio,Totais,14
SP,Teodoro Sampaio,3554300,14
SP,Terra Roxa,Totais,8
SP,Terra Roxa,3554409,8
SP,Tietê,Totais,22
SP,Tietê,3554508,22
SP,Timburi,Totais,2
SP,Timburi,3554607,2
SP,Torre de Pedra,Totais,2
SP,Torre de Pedra,3554656,2
SP,Torrinha,Totais,5
SP,Torrinha,3554706,5
SP,Tremembé,Totais,14
SP,Tremembé,3554805,14
SP,Três Fronteiras,Totais,3
SP,Três Fronteiras,3554904,3
SP,Tuiuti,Totais,2
SP,Tuiuti,3554953,2
SP,Tupã,Totais,46
SP,Tupã,3555000,46
SP,Tupi Paulista,Totais,9
SP,Tupi Paulista,3555109,9
SP,Turiúba,Totais,2
SP,Turiúba,3555208,2
SP,Turmalina,Totais,3
SP,Turmalina,3555307,3
SP,Ubarana,Totais,3
SP,Ubarana,3555356,3
SP,Ubatuba,Totais,57
SP,Ubatuba,3555406,57
SP,Ubirajara,Totais,2
SP,Ubirajara,3555505,2
SP,Uchoa,Totais,8
SP,Uchoa,3555604,8
SP,União Paulista,Totais,2
SP,União Paulista,3555703,2
SP,Urânia,Totais,5
SP,Urânia,3555802,5
SP,Uru,Totais,1
SP,Uru,3555901,1
SP,Urupês,Totais,16
SP,Urupês,3556008,16
SP,Valentim Gentil,Totais,11
SP,Valentim Gentil,3556107,11
SP,Valinhos,Totais,68
SP,Valinhos,3556206,68
SP,Valparaíso,Totais,12
SP,Valparaíso,3556305,12
SP,Vargem,Totais,6
SP,Vargem,3556354,6
SP,Vargem Grande do Sul,Totais,26
SP,Vargem Grande do Sul,3556404,26
SP,Vargem Grande Paulista,Totais,25
SP,Vargem Grande Paulista,3556453,25
SP,Várzea Paulista,Totais,43
SP,Várzea Paulista,3556503,43
SP,Vera Cruz,Totais,8
SP,Vera Cruz,3556602,8
SP,Vinhedo,Totais,42
SP,Vinhedo,3556701,42
SP,Viradouro,Totais,17
SP,Viradouro,3556800,17
SP,Vista Alegre do Alto,Totais,4
SP,Vista Alegre do Alto,3556909,4
SP,Vitória Brasil,Totais,2
SP,Vitória Brasil,3556958,2
SP,Votorantim,Totais,61
SP,Votorantim,3557006,61
SP,Votuporanga,Totais,70
SP,Votuporanga,3557105,70
SP,Zacarias,Totais,2
SP,Zacarias,3557154,2
